19:23:02 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 29 已接收完整，尝试拼接
19:23:02 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 29 拼接成功，已更新最新帧数据
19:23:02 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 30，总长度 22500 字节
19:23:04 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 30 已接收完整，尝试拼接
19:23:04 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 30 拼接成功，已更新最新帧数据
19:23:04 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 31，总长度 22500 字节
19:23:05 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 31 已接收完整，尝试拼接
19:23:05 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 31 拼接成功，已更新最新帧数据
19:23:05 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 32，总长度 22500 字节
19:23:07 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 32 已接收完整，尝试拼接
19:23:07 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 32 拼接成功，已更新最新帧数据
19:23:07 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 33，总长度 22500 字节
19:23:09 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 33 已接收完整，尝试拼接
19:23:09 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 33 拼接成功，已更新最新帧数据
19:23:09 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 34，总长度 22500 字节
19:23:10 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 34 已接收完整，尝试拼接
19:23:10 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 34 拼接成功，已更新最新帧数据
19:23:10 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 35，总长度 22500 字节
19:23:12 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 35 已接收完整，尝试拼接
19:23:12 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 35 拼接成功，已更新最新帧数据
19:23:12 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 36，总长度 22500 字节
19:23:14 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 36 已接收完整，尝试拼接
19:23:14 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 36 拼接成功，已更新最新帧数据
19:23:14 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 37，总长度 22500 字节
19:23:15 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 37 已接收完整，尝试拼接
19:23:15 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 37 拼接成功，已更新最新帧数据
19:23:15 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 38，总长度 22500 字节
19:23:17 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 38 已接收完整，尝试拼接
19:23:17 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 38 拼接成功，已更新最新帧数据
19:23:17 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 39，总长度 22500 字节
19:23:30 | INFO     | UDPReceiver | udp_receiver.py:175 | UDP服务器线程已启动
19:23:30 | INFO     | UDPReceiver | udp_receiver.py:130 | UDP服务器已启动，监听('127.0.0.1', 12346)，等待数据包...
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 0，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 0 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 0 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 1，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 1 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 1 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 2，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 2 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 2 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 3，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 3 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 3 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 4，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 4 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 4 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 5，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 5 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 5 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 6，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 6 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 6 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 7，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 7 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 7 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 8，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 8 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 8 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 9，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 9 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 9 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 10，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 10 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 10 拼接成功，已更新最新帧数据
