19:50:52 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:53 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:54 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:55 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:56 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:57 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:58 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:50:59 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:00 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:01 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:02 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:03 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:04 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:05 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:06 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:07 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:08 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:09 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:10 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:11 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:12 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:13 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:14 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:15 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:16 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:17 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:18 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:19 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:51:20 | WARNING  | MainApp | app.py:18 | Failed to retrieve frame from UDP stream
19:54:37 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
19:54:38 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
19:54:39 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
19:54:40 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
19:57:48 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
19:57:49 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
19:57:50 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:03:51 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:03:52 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:03:53 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:07:45 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:07:46 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:07:47 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:11:36 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:11:37 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:11:38 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:12:38 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:12:39 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:12:40 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:14:25 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:14:26 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:14:27 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:14:28 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:14:30 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:16:10 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:16:11 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
20:16:12 | WARNING  | MainApp | app.py:19 | 无法获取视频流数据，正在重试...
