16:11:48 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 14，总长度 22500 字节
16:11:49 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 14 已接收完整，尝试拼接
16:11:49 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 14 拼接成功，已更新最新帧数据
16:11:49 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 14 已成功拼接，准备显示
16:11:50 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 15，当前帧 14 已完成接收，尝试拼接上一帧
16:11:50 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 14 已接收完整，尝试拼接
16:11:50 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 14 拼接成功，已更新最新帧数据
16:11:50 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 15，总长度 22500 字节
16:11:51 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 15 已接收完整，尝试拼接
16:11:51 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 15 拼接成功，已更新最新帧数据
16:11:51 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 15 已成功拼接，准备显示
16:11:51 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 16，当前帧 15 已完成接收，尝试拼接上一帧
16:11:51 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 15 已接收完整，尝试拼接
16:11:51 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 15 拼接成功，已更新最新帧数据
16:11:51 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 16，总长度 22500 字节
16:11:53 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 16 已接收完整，尝试拼接
16:11:53 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 16 拼接成功，已更新最新帧数据
16:11:53 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 16 已成功拼接，准备显示
16:11:53 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 17，当前帧 16 已完成接收，尝试拼接上一帧
16:11:53 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 16 已接收完整，尝试拼接
