17:31:03 | INFO     | CoreService | core_service.py:48 | 更新状态，消息类型: GameStatus, 内容: {'current_round': 222, 'total_rounds': 2, 'red_score': 111, 'blue_score': 2, 'current_stage': 1}
17:31:18 | INFO     | CoreService | core_service.py:59 | CoreService 已在后台启动（非阻塞模式）
17:31:19 | INFO     | CoreService | core_service.py:42 | 成功发布消息，主题: AssemblyCommand, 内容: b'\x08\x01\x10\x02'
17:31:19 | INFO     | CoreService | core_service.py:125 | 测试发布完成，topic=AssemblyCommand
17:31:19 | INFO     | CoreService | core_service.py:42 | 成功发布消息，主题: CommonCommand, 内容: b'\x08\x03'
17:31:19 | INFO     | CoreService | core_service.py:125 | 测试发布完成，topic=CommonCommand
17:31:19 | INFO     | CoreService | core_service.py:42 | 成功发布消息，主题: MapClickInfoNotify, 内容: b'\x12\x07\x01\x02\x00\x00\x00\x00\x00\x18\x01 e(!0\x018\x80\x05@\xe8\x02M\x00\x00HAU\x00\x00\xc8@'
17:31:19 | INFO     | CoreService | core_service.py:125 | 测试发布完成，topic=MapClickInfoNotify
17:31:19 | INFO     | CoreService | core_service.py:42 | 成功发布消息，主题: CustomControl, 内容: b'\n\x0511111'
17:31:19 | INFO     | CoreService | core_service.py:125 | 测试发布完成，topic=CustomControl
17:31:34 | INFO     | CoreService | core_service.py:59 | CoreService 已在后台启动（非阻塞模式）
17:31:35 | INFO     | CoreService | core_service.py:42 | 成功发布消息，主题: AssemblyCommand, 内容: b'\x08\x01\x10\x02'
17:31:35 | INFO     | CoreService | core_service.py:125 | 测试发布完成，topic=AssemblyCommand
17:31:35 | INFO     | CoreService | core_service.py:42 | 成功发布消息，主题: CommonCommand, 内容: b'\x08\x03'
17:31:35 | INFO     | CoreService | core_service.py:125 | 测试发布完成，topic=CommonCommand
17:31:35 | INFO     | CoreService | core_service.py:42 | 成功发布消息，主题: MapClickInfoNotify, 内容: b'\x12\x07\x01\x02\x00\x00\x00\x00\x00\x18\x01 e(!0\x018\x80\x05@\xe8\x02M\x00\x00HAU\x00\x00\xc8@'
17:31:35 | INFO     | CoreService | core_service.py:125 | 测试发布完成，topic=MapClickInfoNotify
17:31:35 | INFO     | CoreService | core_service.py:42 | 成功发布消息，主题: CustomControl, 内容: b'\n\x0511111'
